Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
Austin Burke,Town Home,62.00,0.63,0.68,5.00,-5.70,1.00,0.03,0.15,0.01,0.13,0.49,155.93,2.84,4.00,4.00
The Maccabees,Marks To Prove It,44.00,0.18,0.92,7.00,-6.79,1.00,0.09,0.01,0.22,0.09,0.19,85.61,254547.00,4.00,1.00
Figgy Mold,Stairway to the Stars,60.00,0.46,0.08,0.00,-21.86,1.00,0.04,0.96,0.86,0.11,0.18,116.20,4.64,4.00,7.00
Derek & The Dominos,Layla,75.00,0.40,0.90,1.00,-3.88,1.00,0.07,0.58,0.30,0.29,0.50,115.67,423840.00,4.00,10.00
Estrellita Castro,Campanera,35.00,0.48,0.49,10.00,-4.13,0.00,0.04,0.85,0.01,0.26,0.66,122.75,215000.00,4.00,9.00
Lifehouse,Learn You Inside Out,36.00,0.21,0.47,0.00,-7.37,1.00,0.03,0.02,0.01,0.12,0.15,189.54,265613.00,3.00,10.00
Bill Nace,When The Top One is Locked,14.00,0.14,0.01,7.00,-30.12,1.00,0.04,0.98,0.48,0.07,0.04,175.21,252000.00,4.00,6.00
Young MC,Bust A Move,53.00,0.95,0.77,4.00,-7.54,0.00,0.10,0.05,0.01,0.06,0.77,116.97,263914.00,4.00,5.00
Ajebo Hustlers,Pronto,55.00,0.86,0.82,2.00,-5.07,0.00,0.24,0.72,0.06,0.10,0.67,102.97,160777.00,4.00,9.00
Biohazard,Punishment,47.00,0.30,0.98,6.00,-6.57,0.00,0.46,0.01,0.01,0.78,0.11,89.63,284067.00,4.00,8.00
Marcus King,The Well,53.00,0.58,0.57,9.00,-8.14,1.00,0.06,0.01,0.01,0.18,0.48,121.23,177093.00,4.00,2.00
Blur,Coffee & TV,66.00,0.74,0.74,2.00,-10.12,1.00,0.04,0.05,0.23,0.10,0.71,121.60,358773.00,4.00,6.00
The Yardbirds,Heart Full of Soul,55.00,0.49,0.67,9.00,-9.74,0.00,0.04,0.23,0.01,0.05,0.70,140.83,147893.00,4.00,10.00
The Violent,Impression,43.00,0.53,0.89,1.00,-5.35,0.00,0.06,0.01,0.01,0.08,0.49,106.00,197127.00,4.00,10.00
Foo Fighters,Everlong,78.00,0.41,0.88,11.00,-5.54,0.00,0.04,0.01,0.01,0.08,0.36,158.07,250547.00,4.00,1.00
joey maxwell,too much,33.00,0.61,0.84,3.00,-7.49,1.00,0.04,0.31,0.03,0.10,0.50,136.10,172813.00,4.00,9.00
"Jatin-Lalit, Kumar Sanu",Ae Kash Ke Hum,52.00,0.36,0.69,0.00,-7.97,1.00,0.06,0.66,0.01,0.18,0.66,161.01,5.17,3.00,3.00
Lil Baby,Drip Too Hard (Lil Baby & Gunna),81.00,0.90,0.66,1.00,-6.90,0.00,0.29,0.09,0.01,0.53,0.39,112.51,145543.00,4.00,5.00
The Anchoress,Unravel,25.00,0.49,0.66,0.00,-8.04,0.00,0.04,0.01,0.01,0.13,0.16,120.07,244867.00,4.00,10.00
Young Devyn,Straight To It,39.00,0.78,0.57,10.00,-6.98,0.00,0.45,0.48,0.01,0.12,0.45,150.77,112846.00,4.00,5.00
Vokonis,Rebellion,32.00,0.36,0.85,5.00,-6.65,1.00,0.05,0.01,0.82,0.10,0.55,112.21,197400.00,4.00,8.00
Castaways,"Liar, Liar",40.00,0.53,0.62,7.00,-6.25,0.00,0.03,0.25,0.74,0.15,0.84,144.58,115925.00,4.00,1.00
Busta Rhymes,Gimme Some More,60.00,0.59,0.86,11.00,-8.34,0.00,0.34,0.01,0.01,0.77,0.78,136.73,158467.00,4.00,5.00
"Britney Spears, Jamie Lynn Spears",Chillin' With You (feat. Jamie Lynn),34.00,0.75,0.75,1.00,-5.78,1.00,0.04,0.21,0.01,0.13,0.53,140.00,3.64,4.00,9.00
Don Caballero,Railroad Cancellation,35.00,0.55,0.94,11.00,-6.28,1.00,0.05,0.17,0.86,0.10,0.24,124.03,316213.00,4.00,10.00
Noah And The Whale,L.I.F.E.G.O.E.S.O.N.,51.00,0.61,0.75,4.00,-5.82,1.00,0.04,0.21,0.01,0.34,0.60,82.00,226947.00,4.00,6.00
Max Frost,White Lies - EP Version,63.00,0.70,0.88,1.00,-3.43,0.00,0.04,0.15,0.01,0.08,0.97,162.90,177835.00,4.00,9.00
Dark The Suns,Everywhere,30.00,0.40,0.93,11.00,-4.92,0.00,0.05,0.01,0.78,0.64,0.17,148.00,305446.00,4.00,8.00
Kings Elliot,I'm Getting Tired of Me,50.00,0.60,0.36,2.00,-9.55,1.00,0.03,0.75,0.01,0.09,0.42,83.26,216224.00,4.00,9.00
tobi lou,I Was Sad Last Night I'm OK Now,68.00,0.87,0.64,5.00,-8.37,0.00,0.06,0.50,0.01,0.21,0.78,120.99,190561.00,4.00,9.00
JVLA,Such a Whore (Stellular Remix),76.00,0.62,0.61,2.00,-4.17,1.00,0.04,0.01,0.03,0.19,0.14,168.87,147638.00,4.00,9.00
Count Five,Psychotic Reaction - Rarities Version,39.00,0.36,0.76,11.00,-6.31,1.00,0.10,0.01,0.01,0.19,0.69,165.21,189848.00,4.00,10.00
French Cassettes,City Kitty,46.00,0.65,0.53,0.00,-10.34,1.00,0.03,0.42,0.01,0.13,0.73,86.02,216000.00,4.00,6.00
Lucky Peterson,50 Years,31.00,0.50,0.82,5.00,-7.83,0.00,0.13,0.06,0.01,0.18,0.55,157.04,251627.00,4.00,2.00
"Megan Davies, Jaclyn Davies",Blank Space / Jealous (Acoustic Mashup),47.00,0.72,0.30,3.00,-7.50,1.00,0.05,0.79,0.01,0.09,0.37,94.94,4.68,4.00,11.00
Grup Ses,Motorize (with Da Poet & Elektro Hafız),29.00,0.54,0.67,6.00,-8.98,0.00,0.03,0.01,0.08,0.63,0.19,87.01,153301.00,4.00,10.00
ShrekDiMC,הבשורה,11.00,0.73,0.72,0.00,-6.02,0.00,0.28,0.37,0.01,0.09,0.43,80.02,267000.00,4.00,5.00
Kahlil Blu,"FREESMOKE, Pt. 2",26.00,0.82,0.71,5.00,-7.91,0.00,0.29,0.57,0.01,0.35,0.96,144.06,136787.00,4.00,9.00
Ween,Ocean Man,65.00,0.72,0.91,4.00,-6.13,1.00,0.04,0.55,0.01,0.10,0.97,122.78,126947.00,4.00,10.00
Slim Harpo,Baby Scratch My Back - Single Version,39.00,0.80,0.46,5.00,-11.67,1.00,0.05,0.80,0.59,0.06,0.93,122.85,173600.00,4.00,2.00
Def Leppard,Rock Rock (Till You Drop),49.00,0.56,0.94,2.00,-5.69,1.00,0.05,0.01,0.02,0.07,0.45,133.30,234753.00,4.00,10.00
Avigail Roz,מלחמה יומיומית,8.00,0.69,0.76,6.00,-5.27,1.00,0.04,0.21,0.01,0.11,0.60,115.94,192333.00,4.00,6.00
Miri Mesika,ואולי,16.00,0.63,0.84,4.00,-6.17,0.00,0.04,0.53,0.01,0.11,0.53,139.93,198868.00,4.00,9.00
Tirzah,Send Me,56.00,0.79,0.52,9.00,-11.75,1.00,0.07,0.07,0.22,0.08,0.62,167.66,243269.00,4.00,6.00
Jakob Ahlbom,Quiet,44.00,0.26,0.12,8.00,-21.15,1.00,0.03,0.96,0.91,0.12,0.15,127.22,2.75,4.00,7.00
nimino,What I Want,43.00,0.78,0.45,8.00,-10.14,0.00,0.31,0.71,0.01,0.35,0.35,106.90,192801.00,4.00,6.00
Fruit Bats,Humbug Mountain Song,61.00,0.59,0.93,6.00,-5.36,0.00,0.03,0.04,0.06,0.31,0.95,100.01,184347.00,4.00,6.00
Shlomo Artzi,אהבתה של תרזה דימון,20.00,0.50,0.57,5.00,-13.76,1.00,0.05,0.55,0.01,0.11,0.61,75.25,255333.00,4.00,10.00
The Cardigans,My Favourite Game,67.00,0.59,0.78,5.00,-6.19,0.00,0.03,0.01,0.01,0.07,0.42,143.34,220468.00,4.00,6.00
Noa Kirel,מיליון דולר,52.00,0.76,0.83,8.00,-5.69,1.00,0.07,0.13,0.20,0.51,0.38,100.02,173400.00,4.00,9.00
Dee Watkins,Gucci Bucket Hat,43.00,0.88,0.59,2.00,-7.01,0.00,0.53,0.10,0.01,0.22,0.63,153.01,113143.00,4.00,5.00
CORPSE,agoraphobic,76.00,0.82,0.70,7.00,-9.57,1.00,0.22,0.78,0.01,0.10,0.15,97.99,129796.00,4.00,5.00
Marcy Playground,Saint Joe On The School Bus,50.00,0.72,0.69,4.00,-7.13,1.00,0.03,0.01,0.01,0.13,0.85,103.93,200156.00,4.00,10.00
Rage Against The Machine,Renegades Of Funk,67.00,0.65,0.91,2.00,-4.02,1.00,0.06,0.01,0.01,0.38,0.77,123.85,274160.00,4.00,10.00
Paul McCartney,Dominoes,40.00,0.73,0.70,0.00,-6.09,1.00,0.02,0.16,0.01,0.20,0.66,100.99,302219.00,4.00,9.00
Twenty One Pilots,Heathens,82.00,0.73,0.40,4.00,-9.35,0.00,0.03,0.08,0.01,0.11,0.55,90.02,195920.00,4.00,9.00
Everything Everything,Distant Past,51.00,0.69,0.81,11.00,-6.47,0.00,0.04,0.07,0.01,0.21,0.52,129.99,221693.00,4.00,6.00
Rico Nasty,OHFR?,63.00,0.86,0.72,1.00,-5.54,0.00,0.48,0.41,0.01,0.08,0.81,158.02,120964.00,4.00,5.00
Eels,Mr. E's Beautiful Blues,52.00,0.66,0.68,7.00,-7.83,1.00,0.03,0.18,0.01,0.34,0.62,114.07,239240.00,4.00,10.00
Pain of Salvation,ACCELERATOR,35.00,0.52,0.65,11.00,-11.02,0.00,0.09,0.01,0.01,0.10,0.30,127.39,331000.00,5.00,8.00
Pigs Pigs Pigs Pigs Pigs Pigs Pigs,Reducer,34.00,0.23,0.96,2.00,-6.29,1.00,0.11,0.01,0.86,0.11,0.24,101.87,267880.00,4.00,10.00
Allen Toussaint,St. James Infirmary,47.00,0.89,0.19,5.00,-14.98,0.00,0.06,0.52,0.76,0.11,0.46,106.55,231107.00,4.00,2.00
"Mohammed Rafi, Mehmood",Khayalon Mein,7.00,0.59,0.81,7.00,-7.99,1.00,0.19,0.77,0.01,0.48,0.79,108.26,6.38,4.00,3.00
Guè Pequeno,Chico (feat. Rose Villain & Luchè),67.00,0.78,0.82,0.00,-3.87,0.00,0.05,0.16,0.01,0.11,0.64,144.95,201931.00,4.00,9.00
Dan Owen,Hideaway - Acoustic,37.00,0.37,0.24,7.00,-9.02,1.00,0.03,0.91,0.01,0.11,0.29,180.97,219373.00,3.00,9.00
Mazzy Star,She Hangs Brightly,39.00,0.24,0.47,9.00,-13.40,1.00,0.03,0.01,0.15,0.12,0.50,107.00,384400.00,4.00,6.00
keita keith,Call You Mine,28.00,0.72,0.75,5.00,-7.23,0.00,0.04,0.23,0.01,0.13,0.63,108.94,153000.00,4.00,9.00
Cem Karaca,Ceviz Ağacı,33.00,0.56,0.90,9.00,-8.56,0.00,0.14,0.48,0.01,0.34,0.92,135.57,349160.00,4.00,10.00
Godfather Don,Watching You,44.00,0.88,0.50,11.00,-8.27,0.00,0.30,0.16,0.01,0.11,0.56,106.10,207993.00,4.00,5.00
Juls,Chance,49.00,0.81,0.46,1.00,-11.49,0.00,0.15,0.08,0.01,0.10,0.64,96.97,225384.00,4.00,9.00
WuW,"Voir En Même Temps L'humour Et La Tragédie, En Toute Chose, À Chaque Instant",19.00,0.25,0.61,7.00,-8.76,1.00,0.04,0.01,0.81,0.18,0.17,104.25,469987.00,5.00,8.00
Shemekia Copeland,Clotilda's On Fire,45.00,0.60,0.68,1.00,-4.65,0.00,0.03,0.12,0.01,0.21,0.57,83.96,266072.00,4.00,2.00
ev.exi,Mode,39.00,0.51,0.93,10.00,-5.17,0.00,0.38,0.01,0.71,0.76,0.69,116.13,232699.00,4.00,6.00
Robert Ellis,When You're Away,40.00,0.58,0.50,3.00,-7.14,0.00,0.03,0.26,0.05,0.15,0.43,86.14,206933.00,4.00,1.00
Larkin Poe,Holy Ghost Fire,48.00,0.52,0.81,4.00,-5.34,0.00,0.04,0.03,0.01,0.30,0.47,92.89,202917.00,4.00,10.00
Shout Out Louds,The Comeback,32.00,0.61,0.84,0.00,-3.59,1.00,0.03,0.01,0.01,0.15,0.45,129.39,168520.00,4.00,6.00
The Stills,Still in Love Song,41.00,0.57,0.80,4.00,-5.44,0.00,0.03,0.01,0.31,0.12,0.41,130.99,220627.00,4.00,1.00
Albert Collins,If Trouble Was Money,40.00,0.48,0.35,5.00,-15.03,0.00,0.04,0.52,0.02,0.15,0.28,108.94,561067.00,3.00,2.00
Butch Dawson,Hummer,38.00,0.78,0.68,0.00,-7.15,0.00,0.05,0.01,0.01,0.07,0.10,147.06,93000.00,4.00,5.00
Bad Nerves,Dreaming,32.00,0.45,0.96,6.00,-6.60,0.00,0.12,0.01,0.01,0.15,0.39,107.46,129373.00,4.00,1.00
Franz Ferdinand,Take Me Out,78.00,0.28,0.66,4.00,-8.82,0.00,0.04,0.01,0.01,0.14,0.53,104.56,237027.00,4.00,1.00
Mink Mussel Creek,Cat Love Power,33.00,0.35,0.61,2.00,-6.98,1.00,0.04,0.03,0.02,0.13,0.04,123.02,407533.00,4.00,6.00
Patti Smith,Rock N Roll Nigger,44.00,0.41,0.80,9.00,-8.48,1.00,0.05,0.01,0.01,0.21,0.63,152.21,204360.00,4.00,10.00
The Who,"See Me, Feel Me - Single Version",39.00,0.38,0.34,0.00,-10.51,1.00,0.03,0.09,0.01,0.08,0.08,93.99,216596.00,4.00,10.00
Albert Collins,Cold Cuts,20.00,0.62,0.83,6.00,-10.65,0.00,0.03,0.01,0.76,0.70,0.52,107.23,360733.00,4.00,2.00
Neil Mukherjee,It Could Be Rain,21.00,0.50,0.21,4.00,-16.95,1.00,0.04,0.87,0.56,0.09,0.49,113.43,251000.00,4.00,6.00
The Libertines,Time For Heroes,56.00,0.34,0.93,2.00,-4.16,1.00,0.06,0.01,0.01,0.01,0.71,152.40,160280.00,4.00,1.00
Jimi Hendrix,Red House,56.00,0.28,0.48,5.00,-8.48,0.00,0.05,0.59,0.02,0.16,0.48,53.91,230360.00,4.00,2.00
Angel Du$t,Turn Off The Guitar,40.00,0.64,0.88,9.00,-5.09,0.00,0.06,0.02,0.01,0.36,0.68,152.07,189023.00,4.00,10.00
Vance Joy,Lay It on Me - Acoustic,45.00,0.48,0.49,5.00,-4.74,1.00,0.03,0.77,0.01,0.11,0.43,137.61,201561.00,4.00,9.00
Emery,The Party Song,37.00,0.38,0.89,5.00,-4.00,0.00,0.11,0.03,0.01,0.15,0.56,178.08,211453.00,4.00,10.00
Lee Fields & The Expressions,Two Timer,41.00,0.53,0.77,0.00,-4.97,0.00,0.03,0.01,0.01,0.10,0.91,99.68,157714.00,4.00,9.00
Mark Collie,Book of My Blues,28.00,0.54,0.80,10.00,-6.93,1.00,0.05,0.01,0.01,0.10,0.44,120.00,208970.00,4.00,2.00
Beyoncé,BLACK PARADE,64.00,0.82,0.56,1.00,-5.82,1.00,0.05,0.01,0.01,0.22,0.06,120.00,281273.00,4.00,5.00
"Asha Bhosle, Dilraj Kaur",Mausam Mastana - Satte Pe Satta / Soundtrack Version,32.00,0.51,0.67,6.00,-4.93,0.00,0.03,0.67,0.01,0.06,0.81,95.37,4.63,4.00,3.00
"Anwar Khan Manganiyar, Swaroop Khan, Niyaz Khan",Mehandi,9.00,0.54,0.57,5.00,-10.65,1.00,0.09,0.43,0.01,0.37,0.40,103.49,3.93,4.00,11.00
Lata Mangeshkar,Piya Bina Piya Bina,17.00,0.44,0.40,8.00,-7.67,1.00,0.03,0.97,0.01,0.20,0.52,105.65,4.20,4.00,3.00
John Diva & the Rockets of Love,American Amadeus,29.00,0.45,0.97,1.00,-4.11,1.00,0.05,0.02,0.01,0.32,0.52,170.00,240840.00,4.00,10.00
Ashley Kutcher,Love You From a Distance,69.00,0.33,0.54,4.00,-8.65,1.00,0.03,0.56,0.01,0.10,0.63,149.38,204000.00,4.00,9.00
Sam Fischer,This City,83.00,0.61,0.38,11.00,-6.21,1.00,0.04,0.73,0.01,0.08,0.52,73.88,194853.00,4.00,9.00
Leaves' Eyes,Chain of the Golden Horn,45.00,0.44,0.98,3.00,-3.07,0.00,0.17,0.01,0.02,0.32,0.33,76.00,240131.00,4.00,8.00
Old Swing,Bruised,25.00,0.75,0.76,8.00,-8.93,1.00,0.03,0.01,0.01,0.16,0.88,129.97,178485.00,4.00,9.00
Natural Child,Out in the Country,49.00,0.43,0.52,2.00,-10.01,1.00,0.04,0.68,0.05,0.11,0.81,93.17,174587.00,4.00,6.00
The Police,Every Little Thing She Does Is Magic,74.00,0.56,0.77,2.00,-10.00,1.00,0.03,0.12,0.06,0.12,0.43,81.91,260573.00,4.00,10.00
Desert Sessions,Crucifire,48.00,0.33,0.90,6.00,-6.30,0.00,0.04,0.01,0.28,0.41,0.92,154.68,104611.00,4.00,8.00
Sukhwinder Singh,Taal Se Taal - Western Version,47.00,0.77,0.72,7.00,-11.74,1.00,0.09,0.20,0.01,0.34,0.49,94.97,2.57,4.00,3.00
Dead & Company,"Sugaree - Live at TD Garden, Boston, MA 11/17/17",38.00,0.41,0.46,1.00,-13.22,0.00,0.03,0.12,0.41,0.72,0.60,102.14,838157.00,4.00,10.00
Onlap,The Edge,46.00,0.53,0.99,0.00,-2.87,1.00,0.11,0.01,0.01,0.38,0.22,102.50,186732.00,4.00,8.00
All Time Low,Missing You,60.00,0.56,0.73,2.00,-6.12,1.00,0.03,0.05,0.01,0.28,0.40,99.98,244824.00,4.00,10.00
The Knocks,R U HIGH (feat. Mallrat),53.00,0.64,0.80,1.00,-6.97,1.00,0.05,0.01,0.94,0.15,0.63,121.00,359934.00,4.00,6.00
Sonny Rollins Quartet,Paul's Pal - Rudy Van Gelder Remaster,47.00,0.57,0.21,7.00,-15.72,1.00,0.05,0.81,0.25,0.10,0.49,77.39,5.17,4.00,7.00
Baby Queen,Internet Religion,41.00,0.59,0.82,3.00,-4.00,1.00,0.04,0.05,0.01,0.21,0.53,124.02,233364.00,4.00,6.00
Karsh Kale,High,22.00,0.30,0.76,6.00,-8.24,1.00,0.06,0.12,0.82,0.15,0.11,168.00,2.78,4.00,11.00
Kenny Wayne Shepherd,Diamonds & Gold,41.00,0.57,0.85,8.00,-5.75,1.00,0.03,0.04,0.01,0.05,0.80,92.16,317773.00,4.00,2.00
Andy Kong,Into The Mystic,46.00,0.45,0.43,0.00,-10.66,1.00,0.04,0.59,0.01,0.10,0.07,138.61,2.81,5.00,11.00
Polo G,RAPSTAR,89.00,0.79,0.54,6.00,-6.86,1.00,0.24,0.41,0.01,0.13,0.44,81.04,2.77,4.00,9.00
347aidan,Dancing in My Room,82.00,0.98,0.41,8.00,-11.05,0.00,0.10,0.67,0.01,0.17,0.76,119.99,180139.00,4.00,5.00
Bad Habits,Let It Roll,31.00,0.52,0.98,0.00,-2.72,1.00,0.09,0.01,0.01,0.26,0.42,102.53,154531.00,4.00,10.00
Latto,On God,54.00,0.91,0.53,1.00,-5.12,1.00,0.07,0.35,0.01,0.15,0.18,105.99,113238.00,4.00,5.00
Joel Corry,Head & Heart (feat. MNEK) - Acoustic,55.00,0.33,0.39,5.00,-8.44,0.00,0.04,0.80,0.01,0.12,0.33,87.66,218526.00,1.00,9.00
And That,At Capacity,18.00,0.72,0.55,9.00,-7.70,1.00,0.02,0.29,0.01,0.23,0.35,96.95,150947.00,4.00,10.00
Olivia Rodrigo,"Even When/The Best Part - From ""High School Musical: The Musical: The Series (Season 2)""",73.00,0.52,0.34,0.00,-8.58,1.00,0.03,0.71,0.01,0.11,0.57,90.65,106881.00,4.00,9.00
Buddy Guy,Best in Town,24.00,0.59,0.90,0.00,-3.66,1.00,0.06,0.23,0.01,0.05,0.77,100.13,295747.00,4.00,2.00
Big Spring,Coming Down,42.00,0.36,0.87,3.00,-5.88,1.00,0.06,0.01,0.01,0.20,0.21,76.04,242475.00,4.00,10.00
Sports Team,Happy (God’s Own Country),49.00,0.46,0.92,1.00,-2.50,1.00,0.11,0.01,0.01,0.15,0.70,167.87,151588.00,4.00,1.00
The Zombies,She's Not There,63.00,0.52,0.80,4.00,-5.19,0.00,0.05,0.58,0.01,0.09,0.90,132.32,145293.00,4.00,6.00
John Mayer,Love on the Weekend,63.00,0.73,0.55,7.00,-9.31,1.00,0.03,0.55,0.01,0.07,0.41,119.94,3.54,4.00,11.00
Moshiko Mor,מה שהיה היה,33.00,0.54,0.52,4.00,-7.54,0.00,0.06,0.36,0.01,0.48,0.33,161.89,186890.00,4.00,9.00
David Lee Roth,Somewhere over the Rainbow Bar and Grill,37.00,0.66,0.74,4.00,-7.59,1.00,0.03,0.11,0.01,0.11,0.43,137.46,251340.00,4.00,10.00
Lene Lovich,Bird Song,32.00,0.61,0.56,8.00,-11.22,0.00,0.03,0.01,0.49,0.12,0.50,142.83,268733.00,4.00,10.00
Goat,I Sing in Silence,32.00,0.48,0.72,0.00,-7.68,1.00,0.04,0.06,0.01,0.07,0.87,88.14,208550.00,3.00,1.00
KennyHoopla,hollywood sucks//,65.00,0.58,0.89,2.00,-4.67,1.00,0.06,0.01,0.01,0.38,0.52,139.99,153040.00,4.00,1.00
Van Halen,Tattoo,37.00,0.50,0.89,2.00,-3.31,1.00,0.04,0.01,0.01,0.20,0.51,100.12,283040.00,4.00,8.00
Fields Of The Nephilim,Moonchild,43.00,0.33,0.82,0.00,-8.09,1.00,0.04,0.01,0.85,0.11,0.45,150.30,340627.00,4.00,10.00
Eleine,Memoriam,45.00,0.56,0.94,1.00,-7.12,0.00,0.05,0.01,0.01,0.11,0.15,112.96,375187.00,4.00,8.00
Sarit Hadad,אתה תותח,35.00,0.80,0.85,3.00,-5.08,0.00,0.03,0.08,0.01,0.32,0.82,115.96,210200.00,4.00,9.00
Saweetie,Tap In,77.00,0.95,0.70,10.00,-7.12,0.00,0.20,0.01,0.01,0.08,0.43,100.04,139413.00,4.00,5.00
Infectzia,פתח תקווה,22.00,0.53,0.66,4.00,-8.17,0.00,0.04,0.15,0.01,0.11,0.29,121.50,215827.00,4.00,6.00
Southern Avenue,"Slipped, Tripped And Fell In Love",19.00,0.69,0.68,9.00,-4.62,0.00,0.03,0.11,0.01,0.17,0.94,121.82,202747.00,4.00,2.00
Korin Allal,זן נדיר,33.00,0.53,0.66,2.00,-11.19,0.00,0.03,0.01,0.01,0.11,0.38,123.88,287000.00,4.00,9.00
Christie Front Drive,Radio,12.00,0.13,0.69,7.00,-7.00,1.00,0.04,0.01,0.75,0.14,0.18,171.76,228453.00,4.00,10.00
Ramírez Exposure,Exit Times,12.00,0.54,0.90,0.00,-5.08,1.00,0.04,0.01,0.01,0.11,0.48,126.95,160267.00,4.00,6.00
Kasabian,Club Foot,54.00,0.18,0.92,0.00,-6.86,1.00,0.09,0.02,0.01,0.09,0.10,94.58,215360.00,1.00,6.00
JC Stewart,Break My Heart - Piano Acoustic,58.00,0.45,0.25,6.00,-10.45,0.00,0.05,0.94,0.01,0.11,0.28,134.50,218293.00,4.00,9.00
Black Label Society,The Blessed Hellride,47.00,0.62,0.71,7.00,-7.24,1.00,0.04,0.07,0.01,0.11,0.43,157.21,272360.00,4.00,10.00
Hydromag,What We Left Behind,33.00,0.53,0.62,4.00,-7.38,1.00,0.02,0.10,0.59,0.16,0.45,100.01,235462.00,4.00,6.00
Yellowcard,Breathing,62.00,0.38,0.93,4.00,-3.73,0.00,0.07,0.01,0.01,0.24,0.57,179.58,218707.00,4.00,10.00
Herman Düne,Life on the Run,40.00,0.55,0.76,9.00,-7.64,1.00,0.09,0.06,0.01,0.14,0.61,88.17,271000.00,4.00,6.00
Yossi Elephant,הנה היא באה,17.00,0.32,0.53,2.00,-13.08,1.00,0.04,0.62,0.60,0.10,0.08,84.03,256387.00,4.00,10.00
Cast,Walkaway,53.00,0.47,0.48,11.00,-10.17,1.00,0.02,0.03,0.01,0.11,0.33,80.04,231733.00,4.00,6.00
Thornetta Davis,Try To Remember,10.00,0.38,0.81,7.00,-7.12,1.00,0.04,0.01,0.13,0.52,0.67,92.85,253627.00,4.00,2.00
Rostam,Under Control,47.00,0.61,0.34,1.00,-11.33,1.00,0.03,0.95,0.18,0.11,0.20,77.94,197507.00,4.00,6.00
Alestorm,Keelhauled,54.00,0.48,0.97,10.00,-3.25,0.00,0.16,0.01,0.01,0.30,0.58,110.02,222253.00,4.00,8.00
Joe Diffie,Pickup Man,61.00,0.71,0.76,7.00,-7.01,1.00,0.04,0.43,0.01,0.34,0.85,140.66,3.61,4.00,4.00
Vader,Fight Fire With Fire,43.00,0.40,1.00,6.00,-2.74,1.00,0.14,0.01,0.16,0.30,0.19,187.02,245853.00,4.00,8.00
Nmesh,New Jack City,27.00,0.44,0.97,11.00,-5.78,0.00,0.07,0.01,0.87,0.79,0.57,196.77,87865.00,4.00,6.00
The Beta Band,Dry The Rain,58.00,0.59,0.63,4.00,-11.29,1.00,0.03,0.09,0.17,0.22,0.75,150.48,366827.00,4.00,6.00
Angie Martinez,Take You Home (feat. Kelis),37.00,0.60,0.64,7.00,-3.16,1.00,0.28,0.07,0.01,0.06,0.70,95.91,233227.00,4.00,5.00
JUMBO,Chump,25.00,0.38,0.60,2.00,-8.67,1.00,0.03,0.52,0.01,0.20,0.46,174.11,274764.00,4.00,6.00
Emily Burns,Is It Just Me? (feat. JP Cooper) (Acoustic),50.00,0.57,0.35,4.00,-7.87,1.00,0.08,0.67,0.01,0.09,0.40,137.67,213107.00,4.00,9.00
NewDad,Slowly,45.00,0.60,0.76,9.00,-8.20,0.00,0.03,0.19,0.54,0.08,0.57,121.99,185813.00,4.00,10.00
Russian Circles,Arluck,40.00,0.30,0.67,4.00,-7.24,0.00,0.04,0.01,0.81,0.11,0.24,85.40,393027.00,4.00,8.00
Burna Boy,Kilometre,68.00,0.72,0.81,9.00,-3.99,1.00,0.18,0.05,0.01,0.05,0.45,102.92,152824.00,4.00,5.00
Clever,Call Me Nobody (feat. Lil Wayne & Isaiah Lyric),52.00,0.69,0.57,5.00,-7.09,0.00,0.05,0.21,0.01,0.12,0.18,113.88,221485.00,4.00,5.00
Ballroom Jazz Collective,The Old Country,37.00,0.61,0.26,0.00,-14.13,1.00,0.03,0.72,0.26,0.37,0.50,131.61,3.64,4.00,7.00
Haya Miller,שמועה,6.00,0.35,0.83,2.00,-5.69,1.00,0.07,0.16,0.01,0.48,0.44,122.36,165314.00,4.00,6.00
Faith No More,Ashes to Ashes,55.00,0.57,0.81,0.00,-7.41,1.00,0.03,0.01,0.01,0.10,0.31,98.46,216200.00,4.00,8.00
The Beatles,Here Comes The Sun - Remastered,0.00,0.56,0.54,9.00,-10.48,1.00,0.03,0.03,0.01,0.18,0.39,129.17,3.10,4.00,11.00
Ost+Front,Ikarus,39.00,0.51,0.95,5.00,-4.28,0.00,0.03,0.01,0.01,0.42,0.62,150.00,211294.00,4.00,8.00
Little Simz,Woman,65.00,0.53,0.65,1.00,-7.64,1.00,0.21,0.71,0.01,0.10,0.80,86.74,269413.00,4.00,5.00
Twin Shadow,Johnny & Jonnie,48.00,0.64,0.90,8.00,-3.82,1.00,0.04,0.02,0.01,0.11,0.85,87.03,169267.00,4.00,6.00
